T恤	ti4 xu4
啊	a1
啊	a2
啊	a3
啊	a4
啊	a5
啊哈	a1 ha4
啊哟喂	a1 yo1 wei5
阿	a5
阿	e1
阿爸	a1 ba4
阿宝	a1 bao3
阿波罗	a1 bo1 luo2
阿布杜艾尼	a1 bu4 du4 ai4 ni2
阿布哈兹	a1 bu4 ha1 zi1
阿布扎比	a1 bu4 za1 bi3
阿尔巴尼亚	a1 er3 ba1 ni2 ya4
阿尔卑斯山	a1 er3 bei1 si1 shan1
阿尔卑斯山脉	a1 er3 bei1 si1 shan1 mai4
阿尔比	a1 er3 bi3
阿尔及尔	a1 er3 ji2 er3
阿尔及利亚	a1 er3 ji2 li4 ya4
阿尔泰山	a1 er3 tai4 shan1
阿福	a1 fu2
阿富汗	a1 fu4 han4
阿根廷	a1 gen1 ting2
阿海	a1 hai3
阿纪	a1 ji4
阿加西	a1 jia1 xi1
阿卡耶夫	a1 ka3 ye1 fu1
阿科斯塔	a1 ke1 si1 ta3
阿克苏	a1 ke4 su1
阿肯色	a1 ken3 se4
阿拉巴马	a1 la1 ba1 ma3
阿拉伯	a1 la1 bo2
阿拉伯半岛	a1 la1 bo2 ban4 dao3
阿拉伯人	a1 la1 bo2 ren2
阿拉法特	a1 la1 fa3 te4
阿拉斯加	a1 la1 si1 jia1
阿里	a1 li3
阿里斯蒂德	a1 li3 si1 di4 de2
阿利耶夫	a1 li4 ye1 fu1
阿琉	a1 liu2
阿妈	a1 ma1
阿曼	a1 man4
阿毛	a1 mao2
阿妹	a1 mei4
阿明	a1 ming2
阿姆斯特丹	a1 mu3 si1 te4 dan1
阿萨德	a1 sa4 de2
阿森松岛	a1 sen1 song1 dao3
阿斯特	a1 si1 te4
阿脱平	a1 tuo1 ping2
阿维兰热	a1 wei2 lan2 re4
阿姨	a1 yi2
阿吟	a1 yin2
阿扎尼亚	a1 za1 ni2 ya4
阿正	a1 zheng4
阿嗲	a1 dia3
埃德贝里	ai1 de2 bei4 li3
埃芬贝格	ai1 fen1 bei4 ge2
埃及	ai1 ji2
埃里克松	ai1 li3 ke4 song1
埃米尔	ai1 mi3 er3
埃塞俄比亚	ai1 sai4 e2 bi3 ya4
埃斯科瓦	ai1 si1 ke1 wa3
挨	ai1
挨	ai2
挨打	ai2 da3
挨个	ai1 ge4
挨个儿	ai1 ge4 er2
挨骂	ai2 ma4
挨门挨户	ai1 men2 ai1 hu4
挨着	ai1 zhe5
哎	ai1
哎	ai3
哎	ai4
哎呀	ai1 ya5
哎哟	ai1 yo1
哎哟	ai1 yo5
唉	ai1
唉	ai4
唉声叹气	ai1 sheng1 tan4 qi4
哀	ai1
哀愁	ai1 chou2
哀悼	ai1 dao4
哀歌	ai1 ge1
哀号	ai1 hao2
